Year,Period,labor force,employment,unemployment,unemployment rate
2014,Jan,3484212,3286984,197228,5.7
2014,Feb,3500434,3302100,198334,5.7
2014,Mar,3512802,3321255,191547,5.5
2014,Apr,3510646,3342119,168527,4.8
2014,May,3520402,3341843,178559,5.1
2014,Jun,3538643,3347530,191113,5.4
2014,Jul,3551942,3355772,196170,5.5
2014,Aug,3546491,3355966,190525,5.4
2014,Sep,3542451,3367032,175419,5.0
2014,Oct,3548586,3384518,164068,4.6
2014,Nov,3559730,3398515,161215,4.5
2014,Dec,3546534,3400264,146270,4.1
2015,Jan,3544146,3379950,164196,4.6
2015,Feb,3546319,3392381,153938,4.3
2015,Mar,3537164,3389306,147858,4.2
2015,Apr,3562963,3428014,134949,3.8
2015,May,3575901,3433608,142293,4.0
2015,Jun,3587131,3432340,154791,4.3
2015,Jul,3600578,3444119,156459,4.3
2015,Aug,3598697,3451176,147521,4.1
2015,Sep,3590834,3445707,145127,4.0
2015,Oct,3606070,3464079,141991,3.9
2015,Nov,3626940,3485921,141019,3.9
2015,Dec,3629401,3497489,131912,3.6
2016,Jan,3632395,3491359,141036,3.9
2016,Feb,3663322,3523091,140231,3.8
2016,Mar,3667306,3525751,141555,3.9
2016,Apr,3676110,3544752,131358,3.6
2016,May,3676932,3546046,130886,3.6
2016,Jun,3700557,3547483,153074,4.1
2016,Jul,3725262,3567896,157366,4.2
2016,Aug,3723986,3571081,152905,4.1
2016,Sep,3733536,3581152,152384,4.1
2016,Oct,3733451,3589917,143534,3.8
2016,Nov,3754218,3614276,139942,3.7
2016,Dec,3750476,3609808,140668,3.8
2017,Jan,3725611,3571050,154561,4.1
2017,Feb,3750124,3591967,158157,4.2
2017,Mar,3750308,3600773,149535,4.0
2017,Apr,3762155,3627422,134733,3.6
2017,May,3750383,3614342,136041,3.6
2017,Jun,3773647,3624453,149194,4.0
2017,Jul,3796581,3648648,147933,3.9
2017,Aug,3795345,3646712,148633,3.9
2017,Sep,3810974,3677535,133439,3.5
2017,Oct,3793192,3669718,123474,3.3
2017,Nov,3821183,3691488,129695,3.4
2017,Dec,3809432,3683427,126005,3.3
2018,Jan,3811258,3668744,142514,3.7
2018,Feb,3846628,3701337,145291,3.8
2018,Mar,3834127,3693177,140950,3.7
2018,Apr,3838878,3709906,128972,3.4
2018,May,3836209,3708710,127499,3.3
2018,Jun,3871091,3719643,151448,3.9
2018,Jul,3883559,3736714,146845,3.8
2018,Aug,3853631,3712155,141476,3.7
2018,Sep,3860143,3725156,134987,3.5
2018,Oct,3880121,3751201,128920,3.3
2018,Nov,3896537,3768257,128280,3.3
2018,Dec,3898387,3767934,130453,3.3
2019,Jan,3896434,3741851,154583,4.0
2019,Feb,3909153,3769385,139768,3.6
2019,Mar,3899975,3769728,130247,3.3
2019,Apr,3891357,3778472,112885,2.9
2019,May,3893305,3778109,115196,3.0
2019,Jun,3935259,3796156,139103,3.5
2019,Jul,3962768,3819372,143396,3.6
2019,Aug,3950952,3815111,135841,3.4
2019,Sep,3967480,3841016,126464,3.2
2019,Oct,3993775,3869541,124234,3.1
2019,Nov,4015759,3893666,122093,3.0
2019,Dec,4003032,3888911,114121,2.9
2020,Jan,3997259,3867404,129855,3.2
2020,Feb,4022197,3896687,125510,3.1
2020,Mar,3941280,3748339,192941,4.9
2020,Apr,3770942,3315037,455905,12.1
2020,May,3875885,3432804,443081,11.4
2020,Jun,3942614,3552571,390043,9.9
2020,Jul,3969153,3615134,354019,8.9
2020,Aug,3991841,3706134,285707,7.2
2020,Sep,4004154,3725763,278391,7.0
2020,Oct,4046753,3803583,243170,6.0
2020,Nov,4062393,3816055,246338,6.1
2020,Dec,4061211,3818530,242681,6.0
2021,Jan,4041587,3787163,254424,6.3
2021,Feb,4056279,3805169,251110,6.2
2021,Mar,4065494,3827042,238452,5.9
2021,Apr,4066490,3850260,216230,5.3
2021,May,4065508,3858467,207041,5.1
2021,Jun,4098505,3864388,234117,5.7
2021,Jul,4125424,3909795,215629,5.2
2021,Aug,4122436,3921942,200494,4.9
2021,Sep,4129295,3942446,186849,4.5
2021,Oct,4160861,3984362,176499,4.2
2021,Nov,4195865,4030720,165145,3.9
2021,Dec,4189971,4039761,150210,3.6
2022,Jan,4198073,4026559,171514,4.1
2022,Feb,4217736,4054462,163274,3.9
2022,Mar,4221233,4078169,143064,3.4
2022,Apr,4217272,4083442,133830,3.2
2022,May,4229949,4090764,139185,3.3
2022,Jun,4249515,4088255,161260,3.8
2022,Jul,4261291,4102796,158495,3.7
2022,Aug,4274851,4119052,155799,3.6
2022,Sep,4274542,4125775,148767,3.5
2022,Oct,4303770,4152929,150841,3.5
2022,Nov,4316586,4165005,151581,3.5
2022,Dec,4312321,4168525,143796,3.3
2023,Jan,4324491,4158046,166445,3.8
2023,Feb,4348378,4173758,174620,4.0
2023,Mar,4359350,4195710,163640,3.8
2023,Apr,4355355,4211609,143746,3.3
2023,May,4351681,4193492,158189,3.6
2023,Jun,4366866,4196886,169980,3.9
2023,Jul,4401938,4228918,173020,3.9
2023,Aug,4406316,4231607,174709,4.0
2023,Sep,4392604,4226925,165679,3.8
2023,Oct,4402254,4244497,157757,3.6
2023,Nov,4422572,4273871,148701,3.4
2023,Dec,4389083,4244664,144419,3.3
2024,Jan,4394237,4224636,169601,3.9
2024,Feb,4428667,4244778,183889,4.2
2024,Mar,4421180,4247111,174069,3.9
2024,Apr,4432499,4281509,150990,3.4
2024,May,4425687,4267136,158551,3.6
2024,Jun,4466661,4274939,191722,4.3
2024,Jul,4480746,4298005,182741,4.1
2024,Aug,4497161,4312470,184691,4.1
