date,value
1/1/2014,235.29
2/1/2014,235.55
3/1/2014,236.03
4/1/2014,236.47
5/1/2014,236.92
6/1/2014,237.23
7/1/2014,237.5
8/1/2014,237.46
9/1/2014,237.48
10/1/2014,237.43
11/1/2014,236.98
12/1/2014,236.25
1/1/2015,234.75
2/1/2015,235.34
3/1/2015,235.98
4/1/2015,236.22
5/1/2015,237
6/1/2015,237.66
7/1/2015,238.03
8/1/2015,238.03
9/1/2015,237.5
10/1/2015,237.73
11/1/2015,238.02
12/1/2015,237.76
1/1/2016,237.65
2/1/2016,237.34
3/1/2016,238.08
4/1/2016,238.99
5/1/2016,239.56
6/1/2016,240.22
7/1/2016,240.1
8/1/2016,240.55
9/1/2016,241.18
10/1/2016,241.74
11/1/2016,242.03
12/1/2016,242.64
1/1/2017,243.62
2/1/2017,244.01
3/1/2017,243.89
4/1/2017,244.19
5/1/2017,244
6/1/2017,244.16
7/1/2017,244.24
8/1/2017,245.18
9/1/2017,246.44
10/1/2017,246.63
11/1/2017,247.28
12/1/2017,247.81
1/1/2018,248.86
2/1/2018,249.53
3/1/2018,249.58
4/1/2018,250.23
5/1/2018,250.79
6/1/2018,251.02
7/1/2018,251.21
8/1/2018,251.66
9/1/2018,252.18
10/1/2018,252.77
11/1/2018,252.59
12/1/2018,252.77
1/1/2019,252.56
2/1/2019,253.32
3/1/2019,254.28
4/1/2019,255.23
5/1/2019,255.3
6/1/2019,255.21
7/1/2019,255.8
8/1/2019,256.04
9/1/2019,256.43
10/1/2019,257.16
11/1/2019,257.88
12/1/2019,258.63
1/1/2020,258.91
2/1/2020,259.25
3/1/2020,258.15
4/1/2020,256.13
5/1/2020,255.85
6/1/2020,257
7/1/2020,258.41
8/1/2020,259.37
9/1/2020,259.95
10/1/2020,260.25
11/1/2020,260.9
12/1/2020,262.01
1/1/2021,262.52
2/1/2021,263.58
3/1/2021,264.91
4/1/2021,266.75
5/1/2021,268.45
6/1/2021,270.66
7/1/2021,271.99
8/1/2021,272.79
9/1/2021,273.89
10/1/2021,276.43
11/1/2021,278.8
12/1/2021,280.81
1/1/2022,282.39
2/1/2022,284.54
3/1/2022,287.55
4/1/2022,288.76
5/1/2022,291.36
6/1/2022,295
7/1/2022,294.98
8/1/2022,295.21
9/1/2022,296.34
10/1/2022,297.86
11/1/2022,298.65
12/1/2022,298.81
1/1/2023,300.36
2/1/2023,301.51
3/1/2023,301.74
4/1/2023,303.03
5/1/2023,303.37
6/1/2023,304
7/1/2023,304.63
8/1/2023,306.19
9/1/2023,307.29
10/1/2023,307.53
11/1/2023,308.02
12/1/2023,308.74
1/1/2024,309.69
2/1/2024,311.05
3/1/2024,312.23
4/1/2024,313.21
5/1/2024,313.23
6/1/2024,313.05
7/1/2024,313.53
8/1/2024,314.12
9/1/2024,314.69
10/1/2024,315.45
11/1/2024,316.44
12/1/2024,317.65
