,U.S. National,20-City Composite,CA-San Francisco,CA-Los Angeles,WA-Seattle,CA-San Diego,NY-New York,IL-Chicago,TX-Dallas,MA-Boston,CO-Denver,AZ-Phoenix,FL-Miami,GA-Atlanta,10-City Composite,DC-Washington,NV-Las Vegas,FL-Tampa,OR-Portland,NC-Charlotte,MI-Detroit,MN-Minneapolis,OH-Cleveland
01-01-2000,100.551,100.5896966,101.4499538,101.0312094,101.0772683,101.1045652,100.33923,100.5648396,100.7133634,100.9198171,100.663014,100.4128546,99.94340919,100.3782066,100.7453027,100.8718324,100.4013792,100.0762687,100.5925808,100.6651335,100.1456249,100.1886986,100.5313767
01-02-2000,101.339,101.6924792,104.1706042,102.0434064,101.6579955,102.4095764,101.2406567,101.411386,103.0373175,101.8942215,101.6525472,100.9384967,100.4737866,101.2897221,101.8931689,101.7012372,100.904482,100.7886426,101.2482199,101.1032567,100.8760638,100.9717054,100.5090319
01-03-2000,102.127,102.7838283,107.3372227,103.2246994,102.9441449,104.0909453,102.0606313,102.4277596,102.7090251,102.6510122,102.7355906,101.7151348,101.0864618,101.6755418,103.15435,102.8941892,101.437483,101.4470557,101.5559331,101.1356707,101.3743405,101.6311664,101.1666139
01-04-2000,102.922,103.9964443,110.632994,104.159399,103.4823663,105.707104,103.1325035,103.4111918,103.2767497,104.3476524,103.5434323,102.2720774,102.0112627,102.7031453,104.5308427,103.9540369,101.5957005,102.3057172,102.1766414,102.271217,101.7643034,102.9747959,101.7382337
01-05-2000,103.677,105.2528181,113.8005135,104.9246978,104.2171882,107.1348493,104.9158686,104.3911075,103.715387,106.0095428,105.3022503,102.9890356,102.7529685,103.2673024,106.0119793,104.9246176,102.0469294,103.3905458,102.0755541,102.2438202,102.5783676,104.4066828,102.1589563
01-06-2000,104.424,106.4025242,116.8151059,105.693407,104.4325625,108.9672096,106.0646994,105.5093608,103.615353,107.9302733,106.9080687,103.7034543,103.4057954,104.1368855,107.3355432,105.7185093,102.2784767,104.2270217,102.1896571,102.6939287,103.2753476,105.6098484,102.0410369
01-07-2000,105.054,107.134019,117.8649973,106.3246871,104.9357644,110.3165335,107.0202911,106.0311411,104.0482115,108.9245284,108.2991328,104.0826017,103.6962614,104.316815,108.1707532,106.7113598,102.6734787,105.0311906,102.4004021,102.2504643,103.99188,106.387834,101.9299375
01-08-2000,105.768,107.8614383,119.0478372,106.9666326,105.2198095,111.6727459,108.0247498,106.4225177,104.3577966,110.1291741,109.2996236,104.4966366,104.35609,104.700671,109.0675936,107.7926427,103.2220011,105.4140518,102.6452631,102.5247294,104.2260728,107.3556195,102.1932892
01-09-2000,106.538,108.61014,120.4148557,107.8867872,105.6243829,112.6560746,108.8255102,106.7101026,105.0762336,111.3708454,110.5514339,104.9660752,105.1079677,104.7786927,110.0270651,108.9946546,103.8936804,105.9062522,102.8113356,102.5164413,104.6521813,108.4654877,102.5189788
01-10-2000,107.382,109.4868588,123.2500153,108.808657,105.8171483,113.4697619,109.7860036,106.9778297,105.5113314,112.9694188,111.7279527,105.3255618,106.0967006,105.4223614,111.1716165,109.8719599,104.675437,106.5093753,103.0260005,102.8567349,105.0615713,109.6255688,103.202904
