Date,Open,High,Low,Close,AdjClose,Volume
1/2/2014,1845.86,1845.86,1827.74,1831.98,1831.98,3080600000
1/3/2014,1833.21,1838.24,1829.13,1831.37,1831.37,2774270000
1/6/2014,1832.31,1837.16,1823.73,1826.77,1826.77,3294850000
1/7/2014,1828.71,1840.1,1828.71,1837.88,1837.88,3511750000
1/8/2014,1837.9,1840.02,1831.4,1837.49,1837.49,3652140000
1/9/2014,1839,1843.23,1830.38,1838.13,1838.13,3581150000
1/10/2014,1840.06,1843.15,1832.43,1842.37,1842.37,3335710000
1/13/2014,1841.26,1843.45,1815.52,1819.2,1819.2,3591350000
1/14/2014,1821.36,1839.26,1821.36,1838.88,1838.88,3353270000
1/15/2014,1840.52,1850.84,1840.52,1848.38,1848.38,3777800000
1/16/2014,1847.99,1847.99,1840.3,1845.89,1845.89,3491310000
1/17/2014,1844.23,1846.04,1835.23,1838.7,1838.7,3626120000
1/21/2014,1841.05,1849.31,1832.38,1843.8,1843.8,3782470000
1/22/2014,1844.71,1846.87,1840.88,1844.86,1844.86,3374170000
1/23/2014,1842.29,1842.29,1820.06,1828.46,1828.46,3972250000
1/24/2014,1826.96,1826.96,1790.29,1790.29,1790.29,4618450000
1/27/2014,1791.03,1795.98,1772.88,1781.56,1781.56,4045200000
1/28/2014,1783,1793.87,1779.49,1792.5,1792.5,3437830000
1/29/2014,1790.15,1790.15,1770.45,1774.2,1774.2,3964020000
1/30/2014,1777.17,1798.77,1777.17,1794.19,1794.19,3547510000
1/31/2014,1790.88,1793.88,1772.26,1782.59,1782.59,4059690000
2/3/2014,1782.68,1784.83,1739.66,1741.89,1741.89,4726040000
2/4/2014,1743.82,1758.73,1743.82,1755.2,1755.2,4068410000
2/5/2014,1753.38,1755.79,1737.92,1751.64,1751.64,3984290000
2/6/2014,1752.99,1774.06,1752.99,1773.43,1773.43,3825410000
2/7/2014,1776.01,1798.03,1776.01,1797.02,1797.02,3775990000
2/10/2014,1796.2,1799.94,1791.83,1799.84,1799.84,3312160000
2/11/2014,1800.45,1823.54,1800.41,1819.75,1819.75,3699380000
2/12/2014,1820.12,1826.55,1815.97,1819.26,1819.26,3326380000
2/13/2014,1814.82,1830.25,1809.22,1829.83,1829.83,3289510000
2/14/2014,1828.46,1841.65,1825.59,1838.63,1838.63,3114750000
2/18/2014,1839.03,1842.87,1835.01,1840.76,1840.76,3421110000
2/19/2014,1838.9,1847.5,1826.99,1828.75,1828.75,3661570000
2/20/2014,1829.24,1842.79,1824.58,1839.78,1839.78,3404980000
2/21/2014,1841.07,1846.13,1835.6,1836.25,1836.25,3403880000
2/24/2014,1836.78,1858.71,1836.78,1847.61,1847.61,4014530000
2/25/2014,1847.66,1852.91,1840.19,1845.12,1845.12,3515560000
2/26/2014,1845.79,1852.65,1840.66,1845.16,1845.16,3716730000
2/27/2014,1844.9,1854.53,1841.13,1854.29,1854.29,3547460000
2/28/2014,1855.12,1867.92,1847.67,1859.45,1859.45,3917450000
3/3/2014,1857.68,1857.68,1834.44,1845.73,1845.73,3428220000
3/4/2014,1849.23,1876.23,1849.23,1873.91,1873.91,3765770000
3/5/2014,1874.05,1876.53,1871.11,1873.81,1873.81,3392990000
3/6/2014,1874.18,1881.94,1874.18,1877.03,1877.03,3360450000
3/7/2014,1878.52,1883.57,1870.56,1878.04,1878.04,3564740000
3/10/2014,1877.86,1877.87,1867.04,1877.17,1877.17,3021350000
3/11/2014,1878.26,1882.35,1863.88,1867.63,1867.63,3392400000
3/12/2014,1866.15,1868.38,1854.38,1868.2,1868.2,3270860000
3/13/2014,1869.06,1874.4,1841.86,1846.34,1846.34,3670990000
3/14/2014,1845.07,1852.44,1839.57,1841.13,1841.13,3285460000
3/17/2014,1842.81,1862.3,1842.81,1858.83,1858.83,2860490000
3/18/2014,1858.92,1873.76,1858.92,1872.25,1872.25,2930190000
3/19/2014,1872.25,1874.14,1850.35,1860.77,1860.77,3289210000
3/20/2014,1860.09,1873.49,1854.63,1872.01,1872.01,3327540000
3/21/2014,1874.53,1883.97,1863.46,1866.52,1866.52,5270710000
3/24/2014,1867.67,1873.34,1849.69,1857.44,1857.44,3409000000
3/25/2014,1859.48,1871.87,1855.96,1865.62,1865.62,3200560000
3/26/2014,1867.09,1875.92,1852.56,1852.56,1852.56,3480850000
3/27/2014,1852.11,1855.55,1842.11,1849.04,1849.04,3733430000
3/28/2014,1850.07,1866.63,1850.07,1857.62,1857.62,2955520000
3/31/2014,1859.16,1875.18,1859.16,1872.34,1872.34,3274300000
4/1/2014,1873.96,1885.84,1873.96,1885.52,1885.52,3336190000
4/2/2014,1886.61,1893.17,1883.79,1890.9,1890.9,3131660000
4/3/2014,1891.43,1893.8,1882.65,1888.77,1888.77,3055600000
4/4/2014,1890.25,1897.28,1863.26,1865.09,1865.09,3583750000
4/7/2014,1863.92,1864.04,1841.48,1845.04,1845.04,3801540000
4/8/2014,1845.48,1854.95,1837.49,1851.96,1851.96,3721450000
4/9/2014,1852.64,1872.43,1852.38,1872.18,1872.18,3308650000
4/10/2014,1872.28,1872.53,1830.87,1833.08,1833.08,3758780000
4/11/2014,1830.65,1835.07,1814.36,1815.69,1815.69,3743460000
4/14/2014,1818.18,1834.19,1815.8,1830.61,1830.61,3111540000
4/15/2014,1831.45,1844.02,1816.29,1842.98,1842.98,3736440000
4/16/2014,1846.01,1862.31,1846.01,1862.31,1862.31,3155080000
4/17/2014,1861.73,1869.63,1856.72,1864.85,1864.85,3341430000
4/21/2014,1865.79,1871.89,1863.18,1871.89,1871.89,2642500000
4/22/2014,1872.57,1884.89,1872.57,1879.55,1879.55,3215440000
4/23/2014,1879.32,1879.75,1873.91,1875.39,1875.39,3085720000
4/24/2014,1881.97,1884.06,1870.24,1878.61,1878.61,3191830000
4/25/2014,1877.72,1877.72,1859.7,1863.4,1863.4,3213020000
4/28/2014,1865,1877.01,1850.61,1869.43,1869.43,4034680000
4/29/2014,1870.78,1880.6,1870.78,1878.33,1878.33,3647820000
4/30/2014,1877.1,1885.2,1872.69,1883.95,1883.95,3779230000
5/1/2014,1884.39,1888.59,1878.04,1883.68,1883.68,3416740000
5/2/2014,1885.3,1891.33,1878.5,1881.14,1881.14,3159560000
5/5/2014,1879.45,1885.51,1866.77,1884.66,1884.66,2733730000
5/6/2014,1883.69,1883.69,1867.72,1867.72,1867.72,3327260000
